"productname";"group";"n"
"mineralvand, sodavand, tilsat sukker, uspec.";"limonade_mineralvand_saftdrik_o_l_";60
"pasta, raa";"pastaprodukter";55
"chokolade, floede";"sukkervarer";47
"oksekoed, hakket, 8-12% fedt, raa";"oksekoed";44
"toej";"toej";44
"kartoffel, uspec., raa";"rod_og_knoldgroentsager";38
"skummetmaelk, oekologisk";"usyrnede_maelkeprodukter";38
"mineralvand, sodavand, uden tilsat sukker, uspec.";"limonade_mineralvand_saftdrik_o_l_";35
"tomat, uspec., raa";"frugt_groentsager";34
"saebe og hygiejne";"saebe_og_hygiejne";30
"spegepoelse";"charcuterivarer";30
"baerepose";"empty";29
"leverpostej";"charcuterivarer";29
"kylling, koed, raa";"fjerkrae";27
"smoerbart blandingsprodukt, 75% fedt";"smoer";27
"aeble, uspec., raat";"kernefrugt";26
"agurk, raa";"frugt_groentsager";26
"hvid hvede bolle, grov, industrifremstillet";"broed";26
"kylling, bryst, koed og skind, raa";"kylling_og_hoene";26
"skummetmaelk";"usyrnede_maelkeprodukter";26
"frugtsmoothie, usoedet";"frugtsaft_og_juice";25
"jordbaer, raa";"baerfrugt";25
"pizza, dybfrost, uspec.";"faerdigretter";25
"kaeledyrsprodukter";"kaeledyrsprodukter";24
"pant retur";"pant_retur";23
"tomatpure";"groentsagsprodukter";23
"chokolade, moerk";"sukkervarer";22
"karameller, blandede";"sukkervarer";21
"mineralvand, dansk vand o.lign.";"limonade_mineralvand_saftdrik_o_l_";21
"smoer, saltet";"smoer";21
"frugtpaalaeg, uspec.";"frugtprodukter";20
"kalkun, koed, raa";"kalkun";20
"mulifrugt juice";"frugtprodukter";20
"rengoering";"rengoering";20
"lakrids, uspec.";"sukkervarer";19
"peberfrugt, roed, raa";"frugt_groentsager";19
"danbo, 20+";"fast_loebeost";18
"kropspleje";"kropspleje";18
"letmaelk, konventionel (ikke-oekologisk)";"usyrnede_maelkeprodukter";18
"yoghurt, med frugt, 1.5 % fedt";"syrnede_maelkeprodukter";18
"bouillon, oksekoed, koncentreret, terning";"andre_sammensatte_foedevarer";17
"cigaretter";"tobak";17
"hvedebroed, groft, med fedtrige froe, stort, detailbageri";"broed";17
"kartoffel, chips (franske kartofler)";"groentsagsprodukter";17
"poelse, med sojaprotein";"plantebaserede_produkter";17
"skyr, 0.2 % fedt";"syrnede_maelkeprodukter";17
"rugbroed, fuldkorn, industrifremstillet";"broed";16
"avocado, raa";"stenfrugt";15
"gulerod, uspec., raa";"rod_og_knoldgroentsager";15
"kaffe, drikkeklar";"kaffe_te_kakao_og_chokolade";15
"mandel, raa";"fedtrig_frugt_og_froe";15
"muusli, uspec.";"morgenprodukter";15
"burger med medium boef, salat og dressing, fastfood";"sandwiches";14
"champignon, raa";"svampe";14
"loeg, raa";"rod_og_knoldgroentsager";14
"pastiller, med sukker, uspec.";"sukkervarer";14
"rullepoelse, paalaeg";"charcuterivarer";14
"smoerbart blandingsprodukt, let, 57% fedt";"smoer";14
"toerkage, uspec.";"kager";14
"chokolade, floede, med noedder";"sukkervarer";13
"citron, raa";"sydfrugt";13
"energi drik, red bull";"andre_drikkevarer";13
"grisekoed, hakket, 10-15% fedt, raat";"svinekoed_(gris)";13
"marmelade, uspec.";"frugtprodukter";13
"oel, guld-, 5.6 % vol.";"oel_og_andre_maltdrikke";13
"paere, raa";"kernefrugt";13
"rugbroed, med sigtet mel (soft) og fedtrige froe, detailbageri";"broed";13
"skummetmaelksost, max. 5+";"fast_loebeost";13
"tandsundhed";"tandsundhed";13
"broccoli, raa";"blad_og_staengelgroentsager";12
"floede 38 %, piskefloede";"usyrnede_maelkeprodukter";12
"floedeskumskage, uspec.";"kager";12
"grisekoed, uspec., fedt, raat";"svinekoed_(gris)";12
"havregryn, uspec.";"gryn";12
"hindbaer, raa";"baerfrugt";12
"hvedebroed, bolle, grov, med fedtrige froe, industrifremstillet";"broed";12
"kontorartikler";"kontorartikler";12
"mandarin, raa";"sydfrugt";12
"oel, pilsner, 4.4 % vol.";"oel_og_andre_maltdrikke";12
"peber, sort";"krydderier";12
"soedmaelk, konventionel (ikke-oekologisk)";"usyrnede_maelkeprodukter";12
"toiletpapir";"toiletpapir";12
"vindrue, raa";"kernefrugt";12
"aeg, hoene, kogt, dybfrost";"aegprodukter";11
"aeg, hoene, skrabehoens, raa";"friske_aeg";11
"banan, raa";"sydfrugt";11
"blaabaer, raa";"baerfrugt";11
"blomster";"blomster";11
"dressing, mayonnaise";"dressings";11
"groenne aerter, raa";"baelgplanter";11
"kyllingepoelse, paalaeg";"kylling_og_hoene";11
"mozzarella, 30+";"fast_loebeost";11
"soedmaelk, oekologisk";"usyrnede_maelkeprodukter";11
"babypleje";"babypleje";10
"bind";"saebe_og_hygiejne";10
"floede 18 %";"usyrnede_maelkeprodukter";10
"grisefilet, helt afpudset, raa";"svinekoed_(gris)";10
"kaffeboenne, ristet, formalet";"kaffe_te_kakao_og_chokolade";10
"knaekbroed, rug-, groft";"broed";10
"majs, kerner, konserves";"kornsorter";10
"paalaeg i skiver, med aeggehvide";"plantebaserede_produkter";10
"rapsolie";"vegetabilske_fedtstoffer";10
"spidskaal, raa";"blad_og_staengelgroentsager";10
"te, drikkeklar, uspec.";"kaffe_te_kakao_og_chokolade";10
"tomatketchup";"groentsagsprodukter";10
"tyggegummi, uden sukker, uspec.";"sukkervarer";10
"vingummi";"sukkervarer";10
"alkopop";"spiritus";9
"boeger";"boeger";9
"byggemarked";"byggemarked";9
"fiskefilet, paneret, stegt, delikatesse";"fiskeprodukter";9
"hvedebroed, pitabroed, groft";"broed";9
"hvedebroed, sandwich/toastbroed med fedtrige froe, industrifremstillet";"broed";9
"hvedemel";"mel";9
"hvidloeg, raa";"krydderurter";9
"kakao, instant, med maelk, pulver";"kaffe_te_kakao_og_chokolade";9
"laks, atlantisk, vild, raa";"saltvandsfisk";9
"lammekoed, rygstykke, raat";"faare_og_lammekoed";9
"lammekoed, uspec., raat";"faare_og_lammekoed";9
"mango, raa";"sydfrugt";9
"marcipanprodukt, m/chokolade, uspec.";"sukkervarer";9
"papir";"papir";9
"reje, dybvands-, kogt";"skaldyr";9
"spinat, raa";"blad_og_staengelgroentsager";9
"tun i vand, konserves";"fiskeprodukter";9
"yoghurt, med frugt, 0.1 % fedt, uden tilsat sukker";"syrnede_maelkeprodukter";9
"appelsin, raa";"sydfrugt";8
"hvedebroed, bolle, fin, industrifremstillet";"broed";8
"koedboller, uspec.";"andre_sammensatte_foedevarer";8
"makrel, raa";"saltvandsfisk";8
"mayonnaise";"mayonnaiser";8
"muuslibar";"kiks_og_smaakager";8
"remoulade, uspec.";"mayonnaiser";8
"rosin uden kerner";"frugtprodukter";8
"salat, iceberg, raa";"blad_og_staengelgroentsager";8
"sandwich med frikadelle, salat og dressing, fastfood";"sandwiches";8
"sauce, barbeque";"eddike";8
"snacks, ekspanderet, kartoffelbasis";"snacks";8
"bolcher, blandede";"sukkervarer";7
"kage, troeffelprodukt / koldprodukt, industrifremstillet";"kager";7
"kalkun, bryst (filet), kogt/roeget, paalaeg";"kalkun";7
"kiks til ost, cream crackers";"kiks_og_smaakager";7
"kiks, grov med frugt eller groent";"kiks_og_smaakager";7
"koldskaal";"syrnede_maelkeprodukter";7
"opvaskemiddel";"opvaskemiddel";7
"ost, fast, 40+, alle typer";"fast_loebeost";7
"rugbroed med fedtrige froe og kerner, industrifremstillet";"broed";7
"salt, stensalt, koekkensalt";"industrielle_hjaelpestoffer";7
"skinke, roeget";"charcuterivarer";7
"a38, acidophilus tykmaelk";"syrnede_maelkeprodukter";6
"dump";"dump";6
"feta, 5% (salat-tern)";"halvfast_loebeost";6
"floedeost, 45-55+";"bloed_loebeost";6
"flute, fint, industrifremstillet";"broed";6
"gaer, toerret";"gaer_og_gaerprodukter";6
"kalkun, koed og skind, raa";"kalkun";6
"koekken ting";"empty";6
"koekkenrulle el serviet";"koekkenrulle";6
"krydder";"broed";6
"kyllingekoed, hakket, 3-10% fedt, raa";"kylling_og_hoene";6
"laeskedrik, koncentreret (1+5), tilsat sukker, uspec.";"limonade_mineralvand_saftdrik_o_l_";6
"laks, atlantisk, opdraet, varmroeget";"saltvandsfisk";6
"levende lys";"belysning";6
"oel, ubeskattet, uspec.";"oel_og_andre_maltdrikke";6
"papirservietter";"papirservietter";6
"pesto";"groentsagsprodukter";6
"poelse, bierwurst";"paalaegsvarer";6
"ris, parboiled, raa";"kornsorter";6
"sukker, stoedt melis (saccharose)";"sukker";6
"tyggegummi, med sukker, uspec.";"sukkervarer";6
"ansigtspleje";"ansigtspleje";5
"appelsinjuice, konserves";"frugtprodukter";5
"bacon, stegestykke, raa";"charcuterivarer";5
"creme fraiche 18 %";"syrnede_maelkeprodukter";5
"floedeboller, skumboller";"sukkervarer";5
"foraarsloeg, raa";"rod_og_knoldgroentsager";5
"grisemoerbrad, afpudset, raa";"svinekoed_(gris)";5
"havredrik, ikke beriget";"andre_drikkevarer";5
"honning";"honning";5
"is, tre-farvet";"is";5
"kaffe, instant, drikkeklar";"kaffe_te_kakao_og_chokolade";5
"kanel, stang";"krydderier";5
"konfektureprodukt, skumvare, uspec.";"sukkervarer";5
"lakridskonfekt";"sukkervarer";5
"oksekoed, uspec., middelfedt, raat";"oksekoed";5
"papirfiltre";"madforberedelse";5
"peanuts, (jordnoed, ristet og saltet)";"snacks";5
"persille, raa";"krydderurter";5
"porre, raa";"blad_og_staengelgroentsager";5
"ris, polerede, raa";"kornsorter";5
"roastbeef, paalaeg";"charcuterivarer";5
"roede linser, toerrede, raa";"baelgplanter";5
"salat, hjerte, raa";"blad_og_staengelgroentsager";5
"salat, hovedsalat, raa";"blad_og_staengelgroentsager";5
"smaakage, cookie (amerikansk type), industrifremstillet";"kiks_og_smaakager";5
"snacks, ekspanderet, majsbasis";"snacks";5
"squash, raa";"frugt_groentsager";5
"sukkeraert (mangetout), raa";"baelgplanter";5
"yoghurt med paere og banan";"syrnede_maelkeprodukter";5
"affaldsaekke";"affaldsaekke";4
"ananas, raa";"sydfrugt";4
"andet stof";"andet_stof";4
"barbering og haarfjerning";"barbering_og_haarfjerning";4
"basilikum, raa";"krydderurter";4
"batterier";"batterier";4
"blomkaal, uspecificeret, raa";"blad_og_staengelgroentsager";4
"bouillon, hoensekoed, spiseklar";"andre_sammensatte_foedevarer";4
"cantaloupe (melon), raa";"sydfrugt";4
"danablu 50+";"halvfast_loebeost";4
"fiskefrikadelle";"fiskeprodukter";4
"floedeis";"is";4
"groenne boenner, raa";"baelgplanter";4
"hasselnoed, toerret";"fedtrig_frugt_og_froe";4
"hvedebroed med fedtrige froe, store, industrifremstillet";"broed";4
"hvedebroed, fint, store, detailbageri";"broed";4
"hytteost, 20+";"bloed_surmaelksost";4
"legetoej";"legetoej";4
"loeg, ristede";"groentsagsprodukter";4
"madindpaking";"madindpaking";4
"margarine, gennemsnit";"margariner";4
"mozzarella, revet";"fast_loebeost";4
"noeddepasta med cacao, smoerepaalaeg";"frugtprodukter";4
"plastikposer";"plastikposer";4
"salat, mayonnaise-, karry-";"fede_saucer_og_dressinger";4
"salt koed, paalaeg";"paalaegsvarer";4
"selleri, blade, raa";"blad_og_staengelgroentsager";4
"skinke, kogt, skiveskaaret";"charcuterivarer";4
"smertestillende haandkoebsmedicin";"empty";4
"spirituosa, gennemsnitlige vaerdier";"spiritus";4
"aeg, hoene, frilands hoens, raa";"friske_aeg";3
"aeg, hoene, oekologisk drift, raa";"friske_aeg";3
"asparges, groenne, raa";"blad_og_staengelgroentsager";3
"aubergine, raa";"frugt_groentsager";3
"chiafroe";"fedtrig_frugt_og_froe";3
"cornflakes, uspec.";"morgenprodukter";3
"eddikesyre";"rengoering";3
"fragt";"fragt";3
"franskbroed";"broed";3
"glasvarer";"glasvarer";3
"grana, 32+";"fast_loebeost";3
"grisekam uden svaer, ca. 3 mm spaek, raa";"svinekoed_(gris)";3
"havarti, 45+";"fast_loebeost";3
"hvedebroed, bolle, italiensk type, detailbageri";"broed";3
"ingefaer, rod, raa";"rod_og_knoldgroentsager";3
"ispind, limonade";"is";3
"kaffe, instant, decaffeinated, pulver";"kaffe_te_kakao_og_chokolade";3
"kammerjunkere";"kiks_og_smaakager";3
"kirsebaer, raa";"stenfrugt";3
"koedpoelse, paalaeg";"charcuterivarer";3
"kylling, laar, koed og skind, raa";"kylling_og_hoene";3
"lakrids, salt";"sukkervarer";3
"lakrids, soed";"sukkervarer";3
"lommetoerklaede";"personligpleje";3
"lucernespirer, raa";"groentsagsprodukter";3
"morgenmadsprodukt, med klid";"morgenprodukter";3
"nougat";"sukkervarer";3
"oerred, hav-, raa";"ferskvandsfisk";3
"oksekoed, culotte, raa";"oksekoed";3
"oksekoed, entrecote med kappe, raa";"oksekoed";3
"oksekoed, klump uden kappe, raa";"oksekoed";3
"oliven, groenne, marinerede, konserves";"frugtprodukter";3
"pommes frites, friturestegt, fastfood";"groentsagsprodukter";3
"purloeg, raa";"krydderurter";3
"quinoa, hvid, raa";"kornsorter";3
"riskiks/riskage, poppede brune ris";"kiks_og_smaakager";3
"roedbede, raa";"rod_og_knoldgroentsager";3
"roedvin, spansk, soed";"vine";3
"rucola, raa";"blad_og_staengelgroentsager";3
"salami";"charcuterivarer";3
"salat, mayonnaise-, italiensk";"fede_saucer_og_dressinger";3
"salat, romaine, romersk, raa";"blad_og_staengelgroentsager";3
"sennep, gul, faerdiglavet";"krydderier";3
"sild, raa";"saltvandsfisk";3
"snaps, 40 % vol., uspec.";"spiritus";3
"solbaer, raa";"baerfrugt";3
"sylte";"charcuterivarer";3
"tang, kombu, toerret";"krydderier";3
"tomatjuice, konserves";"groentsagsprodukter";3
"valnoed, toerret";"fedtrig_frugt_og_froe";3
"vanilleis";"is";3
"whisky";"spiritus";3
"yoghurt med jordbaer";"syrnede_maelkeprodukter";3
"abrikos, raa";"stenfrugt";2
"aeblemost, uspec.";"limonade_mineralvand_saftdrik_o_l_";2
"aeg, hoene, aeggehvide, toerret";"toerrede_aeg";2
"and, brystkoed, raa";"and_og_gaas";2
"asparges, uspec., raa";"blad_og_staengelgroentsager";2
"blomme, raa";"stenfrugt";2
"brombaer, raa";"baerfrugt";2
"bulgur, parboiled, raa";"kornsorter";2
"burger med stor boef, salat og dressing, fastfood";"sandwiches";2
"cacaomaelk (uht)";"usyrnede_maelkeprodukter";2
"cashewnoed, toerristet";"fedtrig_frugt_og_froe";2
"cultura, syrnet soedmaelk (historisk)";"syrnede_maelkeprodukter";2
"fisk blandet";"saltvandsfisk";2
"fransk hot dog, fastfood";"sandwiches";2
"graeskar, raa";"frugt_groentsager";2
"groenkaal, raa";"blad_og_staengelgroentsager";2
"guleroedder, dansk, uden skrael, raa";"rod_og_knoldgroentsager";2
"haandsprit";"medicinsk";2
"havarti, 60+";"fast_loebeost";2
"hjerte, hoene (kylling), raat";"indmad";2
"hot dog, almindelig, fastfood";"sandwiches";2
"hvid hvede broed, groft, store, industrifremstillet";"broed";2
"hytteost, 5+";"bloed_surmaelksost";2
"ispind, vanille med chokoladeovertraek";"is";2
"isvaffel med vaniljeis, uspec.";"is";2
"jordnoed, toerret";"fedtrig_frugt_og_froe";2
"karry, pulver";"krydderier";2
"kartoffel, ny (maj til september), raa";"rod_og_knoldgroentsager";2
"kikaerter, toerrede, raa";"baelgplanter";2
"kiks, dobbelte, hvede, soede";"kiks_og_smaakager";2
"kiks, fuldkorns-, digestivetype";"kiks_og_smaakager";2
"kiwi, raa";"sydfrugt";2
"koriander, blade, friske";"krydderurter";2
"kylling, ben, koed og skind, raa";"kylling_og_hoene";2
"lammekoed, slag, raat";"faare_og_lammekoed";2
"makrel i tomat, konserves";"fiskeprodukter";2
"makrel, filet, naturel, konserves";"fiskeprodukter";2
"medisterpoelse, raa";"charcuterivarer";2
"medisterpoelse, roeget";"charcuterivarer";2
"moebler";"moebler";2
"nektarin, raa";"stenfrugt";2
"oel, moerkt hvidtoel";"oel_og_andre_maltdrikke";2
"oksekoed, tyndsteg med moerbrad, raa";"oksekoed";2
"oksetalg";"oksekoed";2
"oliven, sorte, saltede, i olie";"frugtprodukter";2
"olivenolie";"vegetabilske_fedtstoffer";2
"peberfrugt, gul, raa";"frugt_groentsager";2
"pinjekerne, toerret";"fedtrig_frugt_og_froe";2
"plantemargarine, 80%, stege/bage";"margariner";2
"portvin";"hedvine";2
"rasp";"broed";2
"reje, dybvands, kogt, i lage";"skaldyr";2
"risengryn, groedris, polerede, raa";"gryn";2
"roedspaette, filet, paneret, friturestegt";"fiskeprodukter";2
"roedspaette, raa";"saltvandsfisk";2
"rosévin";"vine";2
"rundstykke";"broed";2
"sandwich med skinke og ost, salat og dressing, fastfood";"sandwiches";2
"sild, marineret, i karrysauce";"fiskeprodukter";2
"sild, paneret, stegt, i lage";"fiskeprodukter";2
"sirup";"andre_sukkervarer";2
"skaerekage, chokoladekage/-pie";"kager";2
"skaerekage, formkage, uspec.";"kager";2
"skummetmaelk, 0.1 % fedt";"usyrnede_maelkeprodukter";2
"skummetmaelk, 0.5 % fedt";"usyrnede_maelkeprodukter";2
"soja sauce";"eddike";2
"solbaersaft, soed, koncentreret";"frugtprodukter";2
"sveske, raa";"stenfrugt";2
"te, blade";"kaffe_te_kakao_og_chokolade";2
"tebirkes";"kager";2
"tofu, sojaboenneost";"groentsagsprodukter";2
"wienerbroed, uspec.";"kager";2
"yoghurt med peach melba";"syrnede_maelkeprodukter";2
"yoghurt naturel, 0.1 % fedt";"syrnede_maelkeprodukter";2
"aeg, hoene, burhoens, raa";"friske_aeg";1
"agurk, syltet";"groentsagsprodukter";1
"ananasjuice, konserves";"frugtprodukter";1
"and, koed og skind, raa";"and_og_gaas";1
"and, koed, raa";"and_og_gaas";1
"asier, syltede";"groentsagsprodukter";1
"bagepulver";"bagepulver_o_l_";1
"baked beans i tomatsovs, konserves";"groentsagsprodukter";1
"birkes, froe";"krydderier";1
"boghvede, hel, raa";"kornsorter";1
"brie, 11%";"bloed_loebeost";1
"brie, 45+";"bloed_loebeost";1
"buddingpulver";"eddike";1
"burger med boef, bacon og ost, salat og dressing, fastfood";"sandwiches";1
"burger med lille boef, salat og dressing, fastfood";"sandwiches";1
"cacaomaelk";"usyrnede_maelkeprodukter";1
"camembert, 45+";"bloed_loebeost";1
"cognac";"spiritus";1
"creme fraiche 9 %";"syrnede_maelkeprodukter";1
"croissant";"kager";1
"daddel, toerret";"kernefrugt";1
"dild, toerret";"krydderurter";1
"diverse";"diverse";1
"donut";"kager";1
"due, vildt, koed, raa";"fuglevildt";1
"elbelysning";"belysning";1
"emmentaler, 45+";"fast_loebeost";1
"empty";"delikatesse";1
"fersken, raa";"stenfrugt";1
"figen, raa";"sydfrugt";1
"fiskeolie, hydrogeneret";"animalske_fedtstoffer";1
"flaeskesvaer, snacks";"snacks";1
"floede 13 %";"usyrnede_maelkeprodukter";1
"flute, groft, industrifremstillet";"broed";1
"forloren skildpadde, uspec.";"faerdigretter";1
"frugtsaft, blandet, usoedet, koncentreret";"frugtsaft_og_juice";1
"gedeost, fast, 45+";"fast_loebeost";1
"graeskar, hokkaido, dansk, raa";"frugt_groentsager";1
"groenne boenner, dybfrost";"groentsagsprodukter";1
"hakket, med aerteprotein";"plantebaserede_produkter";1
"hare, raa";"vildt";1
"have";"have";1
"havtorn, raa";"baerfrugt";1
"hindbaermarmelade";"frugtprodukter";1
"hindbaersaft, soed, koncentreret";"frugtprodukter";1
"hoene, koed, raa";"kylling_og_hoene";1
"hoerfroe, raa";"fedtrig_frugt_og_froe";1
"hvedebroed, italiensk type, stort, detailbageri";"broed";1
"hvedebroed, pitabroed, fint";"broed";1
"hvedebroed, trekornsbroed";"broed";1
"hvidkaal, raa";"blad_og_staengelgroentsager";1
"hvidloeg, toerret, pulver";"krydderurter";1
"hvidvin, mousserende, champagne";"vine";1
"hvidvin, rhinskvin";"vine";1
"hyldebaer, raa";"baerfrugt";1
"jordbaermarmelade";"frugtprodukter";1
"jordnoeddesmoer";"vegetabilske_fedtstoffer";1
"jordskok, raa";"rod_og_knoldgroentsager";1
"kalv og flaesk, hakket, 15-20% fedt, raat";"andre_koedprodukter";1
"karse, frisk";"krydderurter";1
"kartoffel, konserves";"groentsagsprodukter";1
"kefir (historisk)";"syrnede_maelkeprodukter";1
"kiks, havre, soede, med chokolade";"kiks_og_smaakager";1
"kiks, hvede, soed, med tyk chokolade";"kiks_og_smaakager";1
"kiks, marie";"kiks_og_smaakager";1
"kippers i olie, konserves";"fiskeprodukter";1
"kirsebaer, syltede";"frugtprodukter";1
"knaekbroed, hvede-, grahamstype";"broed";1
"koedextrakt, terning";"bouillon_o_l_";1
"koedpoelse, fedtreduceret, paalaeg";"charcuterivarer";1
"koervel, raa";"blad_og_staengelgroentsager";1
"kortgebyr";"kortgebyr";1
"krebs, raa";"skaldyr";1
"kyllingenuggets, friturestegt, fastfood";"andre_sammensatte_foedevarer";1
"laks, atlantisk, opdraet, gravad";"saltvandsfisk";1
"leverpostej, fedtreduceret";"charcuterivarer";1
"likoer, kaffe";"likoer";1
"likoer, uspec.";"likoer";1
"lime, raa";"sydfrugt";1
"loeg, hakkede, dybfrost";"rod_og_knoldgroentsager";1
"loes tobak";"tobak";1
"majsstivelse";"mel";1
"mandeldrik, ikke beriget";"andre_drikkevarer";1
"marcipan";"andre_sukkervarer";1
"minarine, gennemsnit";"margariner";1
"morgenmadsprodukt, rice krispies";"morgenprodukter";1
"mundbind";"medicinsk";1
"oksekoed, filet, marmoreret, raa";"oksekoed";1
"oregano, raa";"krydderurter";1
"ost, blaa- og hvidskimmel, 70+";"bloed_loebeost";1
"ost, fast, 50+, dansk";"fast_loebeost";1
"peber, chili, raa";"frugt_groentsager";1
"pecannoed, toerret";"fedtrig_frugt_og_froe";1
"pistacienoed, toerret";"fedtrig_frugt_og_froe";1
"pitasandwich med salat og dressing, fastfood";"sandwiches";1
"pizza med salami, tomat og ost, fastfood";"andre_sammensatte_foedevarer";1
"pizza med tomat og ost, fastfood";"andre_sammensatte_foedevarer";1
"pizza napolitana, dybfrost";"faerdigretter";1
"pomelo, raa";"sydfrugt";1
"rabarber, raa";"blad_og_staengelgroentsager";1
"radise, raa";"rod_og_knoldgroentsager";1
"rejeost, let, 8% fedt, (smelteost med rejer)";"smelteost";1
"remoulade, fedtreduceret, uspec.";"mayonnaiser";1
"ribs, raa";"baerfrugt";1
"risengryn, groedris, brune, raa";"gryn";1
"roedvin, uspec.";"vine";1
"roulade, uspec.";"kager";1
"rugbroed, fuldkorn, importeret";"broed";1
"rugbroed, kun groft rugmel, med hele kerner, detailbageri";"broed";1
"rugbroed, moerkt, industrifremstillet";"broed";1
"salat, mayonnaise-, koed-";"empty";1
"samsoe, 30+";"fast_loebeost";1
"sandwich med kylling, salat og dressing, fastfood";"sandwiches";1
"skaerekage, mazarinkage";"kager";1
"skinke, kogt, konserves";"charcuterivarer";1
"skinkeost 30+ (smelteost med skinke)";"smelteost";1
"smaakage, klejne, industrifremstillet";"kiks_og_smaakager";1
"smaakage, makron";"kiks_og_smaakager";1
"snacks, ekstruderet, majsbasis";"snacks";1
"sojadrik, kommercielt tilberedt, ikke beriget";"groentsagsprodukter";1
"sojadrik, tilsat calcium";"andre_drikkevarer";1
"solsikkeolie";"vegetabilske_fedtstoffer";1
"spidskommen, raa";"fedtrig_frugt_og_froe";1
"spraengt nakke, grisekoed";"paalaegsvarer";1
"squash, alle typer, raa";"frugt_groentsager";1
"stenbider, raa";"saltvandsfisk";1
"sukker, brun farin";"sukker";1
"sukker, brunt roersukker";"sukker";1
"toerkage, kokosmakroner";"kager";1
"tomatketchup, staerk";"groentsagsprodukter";1
"tomatsuppe, spiseklar";"andre_sammensatte_foedevarer";1
"torsk, filet, raa";"saltvandsfisk";1
"torsk, rogn, roeget";"fiskeprodukter";1
"tun i olie, konserves";"fiskeprodukter";1
"tun, raa";"saltvandsfisk";1
"vaffelroer";"kiks_og_smaakager";1
"vaskemidler";"vaskemidler";1
"vindrue, groenne, raa";"kernefrugt";1
"vodka";"spiritus";1
"wienerbroed, kanelsnegl";"kager";1
"wienerbroed, kringle/stang";"kager";1
"yoghurt med kirsebaer";"syrnede_maelkeprodukter";1
"yoghurt med skovbaer";"syrnede_maelkeprodukter";1
